job_key,date_key,technician_key,service_key,customer_key,status,first_time_fix,duration_min,revenue,cost
1,20251201,13,3,26,Canceled,0,189,0.0,0.0
2,20251201,15,6,101,Completed,1,216,282.33,148.5
3,20251201,3,7,394,Completed,1,209,441.26,211.2
4,20251201,13,7,18,Completed,1,122,518.11,343.1
5,20251201,16,5,349,Completed,0,174,451.1,230.39
6,20251201,3,5,59,Canceled,0,79,0.0,0.0
7,20251201,1,7,160,Completed,1,157,452.15,298.75
8,20251201,6,1,196,Completed,1,116,142.94,68.62
9,20251201,6,2,352,Completed,1,199,289.69,139.4
10,20251201,1,4,384,Completed,1,168,6382.66,3828.95
11,20251201,2,3,169,Completed,1,167,309.14,157.35
12,20251201,9,4,233,Scheduled,0,203,0.0,0.0
13,20251201,8,2,204,Scheduled,0,160,0.0,0.0
14,20251202,6,3,96,Completed,1,130,355.62,203.57
15,20251202,15,3,275,Canceled,0,158,0.0,0.0
16,20251202,9,5,370,Completed,1,54,380.29,256.05
17,20251202,9,1,85,Completed,1,121,134.28,77.88
18,20251202,2,7,94,Completed,0,197,455.57,237.73
19,20251202,4,2,198,Completed,1,142,350.28,220.83
20,20251202,1,7,365,Completed,1,160,542.98,254.88
21,20251202,7,7,354,Completed,1,110,511.91,234.27
22,20251202,16,5,40,Scheduled,0,94,0.0,0.0
23,20251202,16,2,326,Completed,1,168,356.0,206.9
24,20251202,11,3,1,Scheduled,0,198,0.0,0.0
25,20251203,7,1,142,Completed,1,83,153.94,83.34
26,20251203,10,4,337,Completed,1,147,6667.64,3094.09
27,20251203,11,3,262,Completed,1,205,391.65,246.69
28,20251203,10,1,174,Completed,1,176,152.61,83.7
29,20251203,13,1,355,Completed,1,190,156.31,104.47
30,20251203,5,3,310,Completed,1,177,398.43,230.16
31,20251203,3,3,77,Completed,1,188,321.0,198.22
32,20251203,9,5,129,Completed,1,80,419.22,261.59
33,20251203,13,4,47,Completed,1,208,6882.04,4480.69
34,20251203,10,2,253,Canceled,0,128,0.0,0.0
35,20251203,1,4,310,Completed,1,149,7338.65,4450.99
36,20251204,10,5,109,Completed,0,82,443.85,293.63
37,20251204,14,5,64,Completed,0,68,387.46,263.32
38,20251204,16,2,354,Completed,1,136,380.88,182.17
39,20251204,12,4,274,Completed,1,114,7287.59,3319.77
40,20251204,9,2,49,Completed,1,138,325.99,149.57
41,20251204,2,4,8,Completed,1,176,7408.8,4249.22
42,20251204,4,2,366,Completed,1,178,296.0,139.66
43,20251204,10,6,376,Completed,1,146,269.15,159.22
44,20251204,8,5,246,Completed,1,151,395.06,253.46
45,20251204,12,5,310,Completed,0,120,431.62,256.92
46,20251204,8,1,363,Completed,1,99,177.94,100.92
47,20251204,3,5,302,Scheduled,0,98,0.0,0.0
48,20251204,4,4,315,Completed,1,203,6574.5,3698.76
49,20251205,13,5,216,Completed,1,83,442.22,215.47
50,20251205,14,5,62,Completed,1,69,382.16,190.73
51,20251205,14,3,191,Scheduled,0,154,0.0,0.0
52,20251205,10,7,110,Completed,1,199,451.93,284.47
53,20251205,10,5,292,Scheduled,0,81,0.0,0.0
